,disease,hist_lncRNA,pre_hist_lncRNA,value,len_hist_disease,len_pre_hist_lncRNA
79,Cardiac hypertrophy,"['LINC01128', 'LINC01783', 'LINC01654', 'LINC00339', 'SNHG12', 'ERI3-IT1', 'GAS5', 'RASAL2-AS1', 'MIR181A1HG', 'DISP1', 'LINC01703', 'WAC-AS1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'LINC00863', 'C10orf95-AS1', 'EDRF1-DT', 'H19', 'SNHG1', 'NEAT1', 'ESAM-AS1', 'NINJ2-AS1', 'C1RL-AS1', 'RASSF8-AS1', 'LINC01089', 'LINC00944', 'TPT1-AS1', 'DLEU2', 'LINC00641', 'PRMT5-DT', 'ZFHX2-AS1', 'DHRS4-AS1', 'G2E3-AS1', 'PSMA3-AS1', 'MEG8', 'OIP5-AS1', 'IQCH-AS1', 'ALDH1A3-AS1', 'FMNL1-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SOX9-AS1', 'LINC00511', 'SNHG16', 'DLGAP1-AS1', 'ZNF407-AS1', 'RBFADN', 'LINC00661', 'LINC00662', 'TMEM147-AS1', 'A1BG-AS1', 'MZF1-AS1', 'TEX41', 'LINC01806', 'CERS6-AS1', 'TTN-AS1', 'CATIP-AS1', 'GNAS-AS1', 'LINC00649', 'LINC00313', 'TRPM2-AS', 'MCM3AP-AS1', 'DUXAP8', 'THUMPD3-AS1', 'FGD5-AS1', 'DLG1-AS1', 'CTBP1-DT', 'NOP14-AS1', 'TAPT1-AS1', 'UBA6-DT', 'AP1AR-DT', 'TENM3-AS1', 'LINC01184', 'HCG17', 'HCG18', 'SNHG5', 'TRAF3IP2-AS1', 'HOXA-AS3', 'HOXA11-AS', 'GARS1-DT', 'SNHG15', 'MAGI2-AS3', 'SLC26A4-AS1', 'LINC-PINT', 'LINC00689', 'TNFRSF10A-DT', 'SNHG6', 'LINC01111', 'OXR1', 'RNF139-DT', 'PVT1', 'EBLN3P', 'MIR600HG', 'LINC00963', 'XIST', 'LINC00893', 'LINC00894', 'FENDRR', 'MIR497HG', 'SNHG29', 'CCDC144NL-AS1', 'ERVK13-1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'DISP1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'LINC00960', 'PSMA3-AS1', 'LINC01703', 'LINC00525', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",19,101,50
80,Cardiomegaly,"['LINC02593', 'LINC01772', 'LINC01783', 'LINC00339', 'SNHG3', 'SNHG12', 'KDM4A-AS1', 'ERI3-IT1', 'FOXD2-AS1', 'CCDC18-AS1', 'LINC01356', 'LINC02802', 'TDRKH-AS1', 'GAS5', 'RASAL2-AS1', 'MIR181A1HG', 'LEMD1-AS1', 'LINC00467', 'DISP1', 'LINC01703', 'PRKCQ-AS1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'ENTPD1-AS1', 'CASC2', 'EDRF1-DT', 'H19', 'SBF2-AS1', 'LINC00958', 'SNHG1', 'NEAT1', 'ESAM-AS1', 'NINJ2-AS1', 'C1RL-AS1', 'RASSF8-AS1', 'BCDIN3D-AS1', 'HOTAIR', 'LINC02457', 'LINC00173', 'LINC01089', 'LINC00944', 'TPT1-AS1', 'DLEU2', 'MIR17HG', 'DNAJC3-DT', 'AP1G2-AS1', 'DHRS4-AS1', 'G2E3-AS1', 'KTN1-AS1', 'VASH1-AS1', 'MEG8', 'LINC00638', 'RAD51-AS1', 'OIP5-AS1', 'EIF3J-DT', 'IQCH-AS1', 'LOXL1-AS1', 'ALDH1A3-AS1', 'LHX1-DT', 'ASB16-AS1', 'FMNL1-DT', 'TOB1-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SOX9-AS1', 'LINC00511', 'SNHG16', 'SNHG20', 'DLGAP1-AS1', 'ZNF407-AS1', 'RBFADN', 'LINC00662', 'TMEM147-AS1', 'ZNF793-AS1', 'CARD8-AS1', 'PTOV1-AS1', 'MZF1-AS1', 'LRRTM4-AS1', 'CYTOR', 'TEX41', 'CERS6-AS1', 'CHROMR', 'TTN-AS1', 'CATIP-AS1', 'ZNF337-AS1', 'MIR663AHG', 'SNHG17', 'ZFAS1', 'LINC00649', 'LINC01679', 'LINC00313', 'TRPM2-AS', 'MCM3AP-AS1', 'DUXAP8', 'LINC02891', 'MIAT', 'TTC28-AS1', 'NUP50-DT', 'THUMPD3-AS1', 'FGD5-AS1', 'LINC00960', 'LINC02085', 'LINC00882', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'LINC02616', 'UBA6-DT', 'AP1AR-DT', 'USP38-DT', 'TENM3-AS1', 'LIFR-AS1', 'TICAM2-AS1', 'LINC01184', 'HCG17', 'HCG18', 'HCP5', 'SNHG5', 'TRAF3IP2-AS1', 'LINC00242', 'HOTAIRM1', 'HOXA-AS3', 'HOXA10-AS', 'HOXA11-AS', 'GARS1-DT', 'SNHG15', 'LINC00174', 'MAGI2-AS3', 'SLC26A4-AS1', 'LINC-PINT', 'EPHA1-AS1', 'MIR124-1HG', 'SNHG6', 'LINC01111', 'OXR1', 'RNF139-DT', 'PVT1', 'LINC02878', 'CDKN2B-AS1', 'EBLN3P', 'FAM201A', 'MIR600HG', 'LINC00963', 'SNHG7', 'LINC01278', 'XIST', 'LINC00630', 'LINC00893', 'LINC00894', 'LINC02195', 'DDX19A-DT', 'FENDRR', 'ZNF232-AS1', 'MIR497HG', 'SNHG29', 'LINC01270', 'ERVK13-1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'CHROMR', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC01703', 'LINC00960', 'PSMA3-AS1', 'RNF139-DT', 'LINC00525', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",24,156,50
81,Cardiomyopathy dilated,"['FGD5-AS1', 'HCG18']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'PRR7-AS1', 'LINC-PINT', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'SNHG15', 'TSPOAP1-AS1', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",1,2,50
82,Cardiovascular disease,"['DHCR24-DT', 'NUTM2B-AS1', 'EDRF1-DT', 'NEAT1', 'SCARNA9', 'LINC01089', 'TPT1-AS1', 'DLEU2', 'AP1G2-AS1', 'OIP5-AS1', 'ASB16-AS1', 'SOX9-AS1', 'TMEM147-AS1', 'PCBP1-AS1', 'MIR663AHG', 'LINC00899', 'FGD5-AS1', 'CTBP1-DT', 'AP1AR-DT', 'HCG18', 'PSMG3-AS1', 'GARS1-DT', 'SLC26A4-AS1', 'LINC02878', 'CDKN2B-AS1', 'SNHG7', 'XIST', 'LINC01270']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'DISP1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'LINC01703', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",2,28,50
83,Carotid stenosis,"['LINC01128', 'GAS5', 'MIR181A1HG', 'LINC00467', 'CASC2', 'H19', 'SNHG1', 'BCDIN3D-AS1', 'HOTAIR', 'SNHG14', 'OIP5-AS1', 'LOXL1-AS1', 'LINC02086', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'SNHG20', 'LINC01915', 'ZNF790-AS1', 'ATP6V1B1-AS1', 'HAGLR', 'FGD5-AS1', 'MAGI1-IT1', 'TENM3-AS1', 'LINC01194', 'PURPL', 'CKMT2-AS1', 'NR2F1-AS1', 'MIR3936HG', 'LINC02202', 'HCG18', 'HCP5', 'SNHG5', 'HOXA-AS2', 'SNHG15', 'GASAL1', 'PVT1', 'EBLN3P', 'DAPK1-IT1', 'LINC00963', 'XIST', 'LINC00893', 'FENDRR', 'COX10-AS1']","['LINC00630', 'RASA3-IT1', 'MUC20-OT1', 'CEROX1', 'DISP1', 'AGBL4-IT1', 'TMPO-AS1', 'KRTAP5-AS1', 'SORL1-AS1', 'ESAM-AS1', 'SNHG12', 'LINC02397', 'UBL7-DT', 'MELTF-AS1', 'MIR3936HG', 'GNAS-AS1', 'LINC01783', 'THUMPD3-AS1', 'LINC02820', 'MEG8', 'LINC00242', 'ATP6V1B1-AS1', 'KTN1-AS1', 'HOXA10-AS', 'SNHG6', 'LINC01703', 'LINC01915', 'OXR1', 'SNHG20', 'LINC01689', 'CHROMR', 'PCF11-AS1', 'PRMT5-DT', 'LINC00882', 'LINC02616', 'SNHG29', 'MAP4K3-DT', 'LINC00511', 'LINC00661', 'TSPOAP1-AS1', 'LINC00960', 'LINC01224', 'FGD5-AS1', 'TTC28-AS1', 'LINC-PINT', 'PSMA3-AS1', 'SCARNA9', 'SNHG15', 'LINC00525', 'PRR7-AS1']",6,43,50
84,Castration-resistant prostate cancer,"['LINC00339', 'NUTM2B-AS1', 'NUTM2A-AS1', 'H19', 'HOTAIR', 'LINC01089', 'DHRS4-AS1', 'OIP5-AS1', 'ZNF407-AS1', 'A1BG-AS1', 'UBA6-DT', 'HCG18', 'HOTAIRM1', 'HOXA11-AS', 'LINC00174', 'XIST']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'LINC02397', 'CEROX1', 'ESAM-AS1', 'RASA3-IT1', 'UBL7-DT', 'SNHG12', 'LINC01783', 'MELTF-AS1', 'DISP1', 'CHROMR', 'LINC02820', 'MIR3936HG', 'LINC00242', 'SORL1-AS1', 'THUMPD3-AS1', 'SNHG20', 'GNAS-AS1', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'PRMT5-DT', 'KTN1-AS1', 'PRR7-AS1', 'HOXA10-AS', 'MEG8', 'LINC-PINT', 'LINC01689', 'LINC00882', 'MAP4K3-DT', 'LINC01915', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'TSPOAP1-AS1', 'SNHG29', 'RNF139-DT', 'LINC00525', 'FGD5-AS1', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'ZNF790-AS1', 'LINC02891', 'LINC01227']",0,16,50
85,Cataract,"['FGD5-AS1', 'HCG18']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'CHROMR', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC01703', 'LINC00960', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",1,2,50
86,Cerebellar disease,"['LINC01654', 'SNHG12', 'CCDC18-AS1', 'GAS5', 'NUTM2B-AS1', 'NUTM2A-AS1', 'EDRF1-DT', 'H19', 'NEAT1', 'ESAM-AS1', 'LINC01089', 'TPT1-AS1', 'DLEU2', 'INTS6-AS1', 'PRMT5-DT', 'ZFHX2-AS1', 'SNHG14', 'RAD51-AS1', 'OIP5-AS1', 'SOX9-AS1', 'LINC00511', 'SNHG16', 'SNHG20', 'LINC00661', 'LINC00662', 'TMEM147-AS1', 'ZNF793-AS1', 'IGFL2-AS1', 'SOS1-IT1', 'PCBP1-AS1', 'LRRTM4-AS1', 'CYTOR', 'LINC01806', 'TTN-AS1', 'TRPM2-AS', 'MIAT', 'TTC28-AS1', 'THUMPD3-AS1', 'FGD5-AS1', 'PSMD6-AS1', 'LINC00960', 'LINC00882', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'NOP14-AS1', 'AP1AR-DT', 'LIFR-AS1', 'HCG18', 'HCP5', 'HOTAIRM1', 'HOXA-AS3', 'HOXA10-AS', 'HOXA11-AS', 'GARS1-DT', 'SLC26A4-AS1', 'EPHA1-AS1', 'RNF139-DT', 'LINC02878', 'CDKN2B-AS1', 'EBLN3P', 'LINC00963', 'SNHG7', 'XIST', 'LINC00630', 'LINC00893', 'ZNF232-AS1', 'LINC01270']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'LINC01703', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'RNF139-DT', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",14,68,50
87,Cerebellar neurodegeneration,"['LINC01654', 'SNHG12', 'CCDC18-AS1', 'NUTM2B-AS1', 'EDRF1-DT', 'NEAT1', 'LINC01089', 'TPT1-AS1', 'DLEU2', 'INTS6-AS1', 'PRMT5-DT', 'ZFHX2-AS1', 'SNHG14', 'OIP5-AS1', 'SOX9-AS1', 'SNHG16', 'LINC00661', 'TMEM147-AS1', 'ZNF793-AS1', 'IGFL2-AS1', 'SOS1-IT1', 'PCBP1-AS1', 'LRRTM4-AS1', 'LINC01806', 'THUMPD3-AS1', 'FGD5-AS1', 'PSMD6-AS1', 'CTBP1-DT', 'NOP14-AS1', 'AP1AR-DT', 'HCG18', 'HOXA11-AS', 'GARS1-DT', 'SLC26A4-AS1', 'CDKN2B-AS1', 'LINC00963', 'SNHG7', 'XIST', 'LINC00893']","['CAPN10-DT', 'OGFRP1', 'DUXAP8', 'LINC00894', 'LEMD1-AS1', 'DLG1-AS1', 'NUTM2A-AS1', 'ZFHX2-AS1', 'DLEU2', 'LINC00662', 'FOXN3-AS1', 'RASSF8-AS1', 'NR2F1-AS1', 'ENTPD1-AS1', 'ALDH1A3-AS1', 'LINC02802', 'GAS5', 'OLMALINC', 'EPHA1-AS1', 'LINC00663', 'ERVK13-1', 'NUP50-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00461', 'LINC01070', 'MIR600HG', 'ZNF503-AS2', 'RAB30-DT', 'JPX', 'LINC01806', 'ZNF407-AS1', 'MIR133A1HG', 'AP1AR-DT', 'SNHG5', 'EIF3J-DT', 'COL4A2-AS2', 'SOX9-AS1', 'LINC02466', 'H1-10-AS1', 'LINC01679', 'LINC00649', 'LINC00485', 'GIHCG', 'NIFK-AS1', 'TOB1-AS1', 'ZRANB2-AS2', 'CCDC18-AS1', 'EDRF1-DT', 'HCG17', 'LINC02086']",7,39,50
88,Cervical cancer,"['LINC02593', 'LINC01772', 'LINC01783', 'LINC01654', 'LINC00339', 'SNHG3', 'SNHG12', 'CCDC18-AS1', 'LINC02802', 'RUSC1-AS1', 'GAS5', 'MIR181A1HG', 'PCAT6', 'LEMD1-AS1', 'DISP1', 'LINC01703', 'PRKCQ-AS1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'C10orf95-AS1', 'H19', 'SBF2-AS1', 'LINC00958', 'SNHG1', 'NEAT1', 'LINC01537', 'NINJ2-AS1', 'C1RL-AS1', 'HOTAIR', 'LINC01089', 'LINC00944', 'MIR17HG', 'LINC00641', 'PRMT5-DT', 'ZFHX2-AS1', 'AP1G2-AS1', 'DHRS4-AS1', 'PRKCH-AS1', 'VASH1-AS1', 'SNHG14', 'OIP5-AS1', 'FMNL1-DT', 'LINC02086', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'SNHG20', 'LINC00482', 'DLGAP1-AS1', 'ZNF407-AS1', 'RBFADN', 'LINC00661', 'LINC00663', 'LINC00662', 'TMEM147-AS1', 'LINC00665', 'ZNF790-AS1', 'ZNF793-AS1', 'IGFL2-AS1', 'A1BG-AS1', 'MZF1-AS1', 'SOS1-IT1', 'PCBP1-AS1', 'ATP6V1B1-AS1', 'LBX2-AS1', 'CYTOR', 'LINC01806', 'HAGLR', 'CHROMR', 'TTN-AS1', 'KANSL1L-AS1', 'CATIP-AS1', 'ZNF337-AS1', 'SNHG17', 'CBR3-AS1', 'LINC00313', 'TRPM2-AS', 'MCM3AP-AS1', 'DUXAP8', 'LINC02891', 'NUP50-DT', 'THUMPD3-AS1', 'FGD5-AS1', 'MAGI1-IT1', 'LINC02085', 'LINC00882', 'MELTF-AS1', 'CTBP1-DT', 'NOP14-AS1', 'LINC02616', 'KLF3-AS1', 'TENM3-AS1', 'LINC01194', 'PURPL', 'CKMT2-AS1', 'TMEM161B-DT', 'LINC02202', 'HCG17', 'HCG18', 'HCP5', 'SNHG5', 'LINC00242', 'PSMG3-AS1', 'LINC02587', 'HOXA-AS2', 'HOXA11-AS', 'SNHG15', 'LINC00525', 'LINC00174', 'MAGI2-AS3', 'SLC26A4-AS1', 'LINC-PINT', 'SNHG6', 'LINC01111', 'GASAL1', 'PVT1', 'LINC02055', 'EBLN3P', 'MIR600HG', 'LINC00963', 'SNHG7', 'XIST', 'LINC00893', 'LINC00894', 'LINC02195', 'LINC01227', 'FENDRR', 'ZNF232-AS1', 'COX10-AS1', 'SNHG29', 'LINC01270']","['LINC00630', 'RASA3-IT1', 'MUC20-OT1', 'CEROX1', 'AGBL4-IT1', 'DISP1', 'TMPO-AS1', 'KRTAP5-AS1', 'SORL1-AS1', 'ESAM-AS1', 'SNHG12', 'LINC02397', 'UBL7-DT', 'MELTF-AS1', 'MIR3936HG', 'GNAS-AS1', 'LINC01783', 'LINC02820', 'LINC00242', 'THUMPD3-AS1', 'MEG8', 'ATP6V1B1-AS1', 'KTN1-AS1', 'HOXA10-AS', 'SNHG6', 'CHROMR', 'OXR1', 'SNHG20', 'LINC01915', 'PCF11-AS1', 'LINC01689', 'LINC01703', 'PRMT5-DT', 'LINC00882', 'SNHG29', 'MAP4K3-DT', 'LINC00511', 'LINC02616', 'TSPOAP1-AS1', 'TTC28-AS1', 'LINC00661', 'LINC-PINT', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'PRR7-AS1', 'SNHG15', 'LINC01224', 'SCARNA9', 'LINC00525']",20,130,50
89,Cervical carcinoma,"['SNHG1', 'CARD8-AS1', 'LINC01184', 'FAM201A', 'XIST']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'LINC-PINT', 'MAP4K3-DT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'LINC00960', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",0,5,50
90,Cervical squamous cell carcinoma,"['PRKCQ-AS1', 'SNHG1', 'C1RL-AS1', 'LINC00944', 'DHRS4-AS1', 'OIP5-AS1', 'IQCH-AS1', 'LINC00662', 'PAX8-AS1', 'LINC01806', 'CHROMR', 'CBR3-AS1', 'MCM3AP-AS1', 'LINC00852', 'MUC20-OT1', 'PSMG3-AS1', 'LINC02587', 'LINC00963', 'JPX', 'LINC01227', 'SNHG29', 'CCDC144NL-AS1']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'DISP1', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'HOXA10-AS', 'MEG8', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'PRR7-AS1', 'LINC-PINT', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'SNHG15', 'TSPOAP1-AS1', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",3,22,50
91,Cholangiocarcinoma,"['LINC02593', 'PINK1-AS', 'LINC00339', 'SNHG3', 'SNHG12', 'MATN1-AS1', 'CCDC18-AS1', 'WARS2-AS1', 'GAS5', 'MIR181A1HG', 'DISP1', 'LINC01703', 'PRKCQ-AS1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'ENTPD1-AS1', 'OLMALINC', 'LBX1-AS1', 'H19', 'SNHG1', 'NEAT1', 'LINC01537', 'PCF11-AS1', 'ANKRD42-DT', 'USP2-AS1', 'C1RL-AS1', 'KLRK1-AS1', 'HOTAIR', 'LINC02397', 'LINC02457', 'LINC00173', 'LINC01089', 'INTS6-AS1', 'MIR17HG', 'DNAJC3-DT', 'LINC00641', 'ZFHX2-AS1', 'DHRS4-AS1', 'G2E3-AS1', 'FOXN3-AS1', 'SNHG14', 'RAD51-AS1', 'OIP5-AS1', 'ALDH1A3-AS1', 'ASB16-AS1', 'SP2-AS1', 'TOB1-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00511', 'SNHG16', 'SNHG20', 'DLGAP1-AS1', 'ZNF407-AS1', 'LINC00661', 'TMEM147-AS1', 'LINC00665', 'ZNF790-AS1', 'ZNF793-AS1', 'IGFL2-AS1', 'CARD8-AS1', 'PTOV1-AS1', 'A1BG-AS1', 'MZF1-AS1', 'SOS1-IT1', 'PCBP1-AS1', 'LRRTM4-AS1', 'LINC01806', 'HAGLR', 'TTN-AS1', 'CAPN10-DT', 'ZNF337-AS1', 'SNHG17', 'PELATON', 'LINC00319', 'TRPM2-AS', 'MCM3AP-AS1', 'DUXAP8', 'MIAT', 'THUMPD3-AS1', 'FGD5-AS1', 'PSMD6-AS1', 'MAGI1-IT1', 'CTBP1-DT', 'LINC02616', 'KLF3-AS1', 'UBA6-DT', 'TENM3-AS1', 'LINC01194', 'LIFR-AS1', 'CKMT2-AS1', 'TMEM161B-DT', 'LINC01184', 'PRR7-AS1', 'HCG18', 'HCP5', 'SNHG5', 'TRAF3IP2-AS1', 'HOTAIRM1', 'HOXA-AS2', 'HOXA-AS3', 'HOXA10-AS', 'HOXA11-AS', 'GARS1-DT', 'SNHG15', 'LINC00174', 'MAGI2-AS3', 'LINC-PINT', 'TNFRSF10A-DT', 'SNHG6', 'LINC01111', 'ZNNT1', 'LINC02878', 'CDKN2B-AS1', 'EBLN3P', 'FAM201A', 'LINC00963', 'NALT1', 'SNHG7', 'XIST', 'LINC00894', 'ZNF232-AS1', 'COX10-AS1', 'SNHG29', 'LINC01270']","['CAPN10-DT', 'OGFRP1', 'DUXAP8', 'LINC00894', 'LEMD1-AS1', 'DLEU2', 'LINC00662', 'NUTM2A-AS1', 'ZFHX2-AS1', 'DLG1-AS1', 'FOXN3-AS1', 'RASSF8-AS1', 'NR2F1-AS1', 'ALDH1A3-AS1', 'ENTPD1-AS1', 'GAS5', 'LINC02802', 'OLMALINC', 'LINC00663', 'ERVK13-1', 'EPHA1-AS1', 'NUP50-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00461', 'ZNF503-AS2', 'LINC01070', 'MIR600HG', 'ZNF407-AS1', 'LINC01806', 'JPX', 'RAB30-DT', 'AP1AR-DT', 'MIR133A1HG', 'SNHG5', 'LINC02466', 'COL4A2-AS2', 'EIF3J-DT', 'SOX9-AS1', 'LINC00485', 'H1-10-AS1', 'CCDC18-AS1', 'GIHCG', 'ZRANB2-AS2', 'HCG17', 'LINC00649', 'SP2-AS1', 'NIFK-AS1', 'LINC01679', 'TOB1-AS1', 'ZNF213-AS1']",17,124,50
