miRNA,disease
hsa-miR-19b-3p,Nasopharyngeal carcinoma
hsa-miR-19b-3p,Multiple myeloma
hsa-miR-19b-3p,Esophageal squamous cell carcinoma
hsa-miR-19b-3p,Uterine cervical neoplasms
hsa-miR-19b-3p,Stroke lacunar
hsa-miR-208a-3p,Cardiac hypertrophy
hsa-miR-208a-3p,Myocardial reperfusion injury
hsa-miR-25-3p,Medulloblastoma
hsa-miR-25-3p,Gastric cancer
hsa-miR-25-3p,Atherosclerosis
hsa-miR-25-3p,Colon cancer
hsa-miR-25-3p,Multiple sclerosis relapsing-remitting
hsa-miR-25-3p,Relapsing-remitting multiple sclerosis
hsa-miR-25-3p,Amyotrophic lateral sclerosis
hsa-miR-25-3p,Coronary artery disease
hsa-miR-25-3p,Adenocarcinoma of esophagus
hsa-miR-25-3p,Esophageal adenocarcinoma
hsa-miR-25-3p,Nasopharynx carcinoma
hsa-miR-25-3p,Multiple myeloma
hsa-miR-299-3p,Hepatocellular carcinoma
hsa-miR-32-5p,Alzheimer disease
hsa-miR-32-5p,Uterine fibroid
hsa-miR-32-5p,Breast cancer
hsa-miR-32-5p,Breast neoplasms
hsa-miR-32-5p,Williams syndrome
hsa-miR-32-5p,Multiple myeloma
hsa-miR-32-5p,Infection
hsa-miR-363-3p,Gastric cancer
hsa-miR-363-3p,Stomach cancer
hsa-miR-367-3p,Medulloblastoma
hsa-miR-367-3p,Alzheimer disease
hsa-miR-367-3p,Hepatocellular carcinoma
hsa-miR-590-3p,Colon cancer
hsa-miR-590-3p,Glioblastoma
hsa-miR-590-3p,Hepatocellular carcinoma
hsa-miR-92a-3p,Medulloblastoma
hsa-miR-92a-3p,Chronic lymphocytic leukemia
hsa-miR-92a-3p,Gastric cancer
hsa-miR-92a-3p,Stomach cancer
hsa-miR-92a-3p,Alzheimer disease
hsa-miR-92a-3p,Carotid stenosis
hsa-miR-92a-3p,Breast cancer
hsa-miR-92a-3p,Colon cancer
hsa-miR-92a-3p,Multiple sclerosis relapsing-remitting
hsa-miR-92a-3p,Glioblastoma
hsa-miR-92a-3p,Glioma
hsa-miR-92a-3p,Malignant glioma
hsa-miR-92a-3p,Schizophrenia
hsa-miR-92a-3p,Hepatocellular carcinoma
hsa-miR-92a-3p,T-cell leukemia
hsa-miR-92a-3p,Neuroblastoma
hsa-miR-92a-3p,Lymphosarcoma
hsa-miR-92a-3p,Acute myelocytic leukemia
hsa-miR-92a-3p,Colorectal cancer
hsa-miR-92a-3p,Pelvic organ prolapse
hsa-miR-92b-3p,Breast cancer
hsa-miR-92b-3p,Breast neoplasms
hsa-miR-92b-3p,Schizophrenia
hsa-miR-92b-3p,Neuroblastoma
hsa-miR-138-5p,Tongue squamous cell carcinoma
hsa-miR-138-5p,Oral squamous cell carcinoma
hsa-miR-138-5p,Medulloblastoma
hsa-miR-138-5p,Anencephaly
hsa-miR-138-5p,Anaplastic thyroid carcinoma
hsa-miR-138-5p,Alzheimer disease
hsa-miR-138-5p,Fragile x syndrome
hsa-miR-138-5p,Pancreatic cancer
hsa-miR-138-5p,Melanoma
hsa-miR-138-5p,Glioblastoma
hsa-miR-138-5p,Astrocytoma
hsa-miR-138-5p,Gallbladder cancer
hsa-miR-138-5p,Non-small cell lung cancer
hsa-miR-138-5p,Cervical cancer
hsa-miR-138-5p,Renal carcinoma
hsa-miR-138-5p,Cholangiocarcinoma
hsa-miR-138-5p,Gallbladder carcinoma
hsa-miR-138-5p,Head and neck squamous cell carcinoma
hsa-miR-138-5p,Heart failure
hsa-miR-138-5p,Retinoblastoma
hsa-miR-138-5p,Osteoarthritis
hsa-miR-138-5p,Nasopharyngeal carcinoma
hsa-miR-138-5p,Prostatic neoplasms
hsa-miR-138-5p,Myocardial ischemia
hsa-miR-149-5p,Gastric cancer
hsa-miR-149-5p,Melanoma
hsa-miR-149-5p,Williams syndrome
hsa-miR-149-5p,Glioblastoma
hsa-miR-149-5p,Osteosarcoma
hsa-miR-149-5p,Pituitary adenoma
hsa-miR-149-5p,Carcinoma lung non-small-cell
hsa-miR-149-5p,Non-small cell lung adenocarcinoma
hsa-miR-149-5p,Hepatocellular carcinoma
hsa-miR-149-5p,Colorectal cancer
hsa-miR-149-5p,Cardiomegaly
hsa-miR-320b,Multiple sclerosis relapsing-remitting
hsa-miR-320b,Relapsing-remitting multiple sclerosis
hsa-miR-320c,Pancreatic neoplasms
hsa-miR-320d,Glioma
hsa-miR-377-3p,Lung cancer
hsa-miR-377-3p,Melanoma
hsa-miR-377-3p,Glioblastoma
hsa-miR-377-3p,Ovarian epithelial cancer
hsa-miR-4429,Papillary thyroid carcinoma
hsa-miR-485-5p,Alzheimer disease
hsa-miR-873-5p,Gastric cancer
hsa-miR-155-5p,Diffuse large b cell lymphoma
hsa-miR-155-5p,Multiple sclerosis chronic progressive
hsa-miR-155-5p,Renal fibrosis
hsa-miR-155-5p,Precursor cell lymphoblastic leukemia-lymphoma
hsa-miR-155-5p,Pre-eclampsia
hsa-miR-155-5p,Alzheimer disease
hsa-miR-155-5p,Hypertension
hsa-miR-155-5p,Lung cancer
hsa-miR-155-5p,Kawasaki disease
hsa-miR-155-5p,Tuberous sclerosis
hsa-miR-155-5p,Down syndrome
hsa-miR-155-5p,Breast cancer
hsa-miR-155-5p,Breast neoplasms
hsa-miR-155-5p,Pituitary neoplasms
hsa-miR-155-5p,Melanoma
hsa-miR-155-5p,Atherosclerosis
hsa-miR-155-5p,Hepatitis B
hsa-miR-155-5p,Multiple sclerosis relapsing-remitting
hsa-miR-155-5p,Relapsing-remitting multiple sclerosis
hsa-miR-155-5p,Thyroid adenomas
hsa-miR-155-5p,Pulmonary tuberculosis
hsa-miR-155-5p,Glioblastoma
hsa-miR-155-5p,Glioblastoma multiforme
hsa-miR-155-5p,Coronary artery disease
hsa-miR-155-5p,Pancreatic ductal adenocarcinoma
hsa-miR-155-5p,Pituitary adenoma
hsa-miR-155-5p,Acute myocarditis
hsa-miR-155-5p,Scleroderma
hsa-miR-155-5p,Cervical cancer
hsa-miR-155-5p,HIV
hsa-miR-155-5p,Juvenile rheumatoid arthritis
hsa-miR-155-5p,Hepatocellular carcinoma
hsa-miR-155-5p,B-cell lymphoma
hsa-miR-155-5p,Leukemic b-cells
hsa-miR-155-5p,Hodgkin disease
hsa-miR-155-5p,Hodgkin lymphoma
hsa-miR-155-5p,Intermediate coronary syndrome
hsa-miR-155-5p,Colorectal cancer
hsa-miR-155-5p,Colorectal neoplasms
hsa-miR-155-5p,Cardiomegaly
hsa-miR-155-5p,Inflammation
hsa-miR-155-5p,Lung injury
hsa-miR-155-5p,Plaque atherosclerotic
hsa-miR-199a-5p,Idiopathic pulmonary fibrosis
hsa-miR-199a-5p,Multiple sclerosis chronic progressive
hsa-miR-199a-5p,Gastric cancer
hsa-miR-199a-5p,Stomach cancer
hsa-miR-199a-5p,Alzheimer disease
hsa-miR-199a-5p,Bladder cancer
hsa-miR-199a-5p,Duchenne muscular dystrophy
hsa-miR-199a-5p,Breast cancer
hsa-miR-199a-5p,Breast neoplasms
hsa-miR-199a-5p,Cancer
hsa-miR-199a-5p,Invasive squamous cell carcinomas
hsa-miR-199a-5p,Squamous cell carcinoma
hsa-miR-199a-5p,Melanoma
hsa-miR-199a-5p,Epithelial ovarian cancer
hsa-miR-199a-5p,Multiple sclerosis relapsing-remitting
hsa-miR-199a-5p,Prostate adenocarcinoma
hsa-miR-199a-5p,Endometriosis
hsa-miR-199a-5p,malignant glioma
hsa-miR-199a-5p,Meningioma
hsa-miR-199a-5p,Carcinoma lung non-small-cell
hsa-miR-199a-5p,Papillary thyroid carcinoma
hsa-miR-199a-5p,Adenocarcinoma of esophagus
hsa-miR-199a-5p,Intrahepatic cholangiocarcinoma
hsa-miR-199a-5p,Gastric carcinoma
hsa-miR-199a-5p,Head and neck squamous cell carcinoma
hsa-miR-199a-5p,Heart failure
hsa-miR-199a-5p,Uveal melanoma
hsa-miR-199a-5p,Hepatocellular carcinoma
hsa-miR-199a-5p,Colorectal cancer
hsa-miR-199a-5p,Ovarian epithelial cancer
hsa-miR-199a-5p,Cardiac hypertrophy
hsa-miR-199b-5p,Medulloblastoma
hsa-miR-199b-5p,Breast cancer
hsa-miR-199b-5p,Breast neoplasms
hsa-miR-199b-5p,Melanoma
hsa-miR-199b-5p,Choriocarcinoma
hsa-miR-199b-5p,Cervical cancer
hsa-miR-199b-5p,Gastric carcinoma
hsa-miR-199b-5p,Head and neck squamous cell carcinoma
hsa-miR-199b-5p,Diabetic nephropathies
hsa-miR-199b-5p,Cardiomegaly
hsa-miR-125a-5p,Medulloblastoma
hsa-miR-125a-5p,Alzheimer disease
hsa-miR-125a-5p,Acute leukemia
hsa-miR-125a-5p,Lung cancer
hsa-miR-125a-5p,Breast cancer
hsa-miR-125a-5p,Breast neoplasms
hsa-miR-125a-5p,Vascular diseases
hsa-miR-125a-5p,Malignant melanoma
hsa-miR-125a-5p,Melanoma
hsa-miR-125a-5p,Ovarian cancer
hsa-miR-125a-5p,Ovarian neoplasms
hsa-miR-125a-5p,Glioblastoma
hsa-miR-125a-5p,Pancreatic ductal adenocarcinoma
hsa-miR-125a-5p,Lung adenocarcinoma
hsa-miR-125a-5p,Head and neck squamous cell carcinoma
hsa-miR-125a-5p,Neuroblastoma
hsa-miR-125a-5p,Colorectal cancer
hsa-miR-125a-5p,Recurrent pregnancy loss
hsa-miR-125b-5p,Oral squamous cell carcinoma
hsa-miR-125b-5p,Medulloblastoma
hsa-miR-125b-5p,Acute promyelocytic leukemia
hsa-miR-125b-5p,Pediatric acute promyelocytic leukemia
hsa-miR-125b-5p,Anaplastic thyroid cancer
hsa-miR-125b-5p,Prostate cancer
hsa-miR-125b-5p,Chronic lymphocytic leukemia
hsa-miR-125b-5p,Gastric cancer
hsa-miR-125b-5p,Stomach cancer
hsa-miR-125b-5p,Alzheimer disease
hsa-miR-125b-5p,Bladder cancer
hsa-miR-125b-5p,Urinary bladder cancer
hsa-miR-125b-5p,Ataxia telangiectasia
hsa-miR-125b-5p,Huntington disease
hsa-miR-125b-5p,Uterine fibroid
hsa-miR-125b-5p,Fragile x syndrome
hsa-miR-125b-5p,Breast cancer
hsa-miR-125b-5p,Breast neoplasms
hsa-miR-125b-5p,Vascular diseases
hsa-miR-125b-5p,Melanoma
hsa-miR-125b-5p,Williams syndrome
hsa-miR-125b-5p,Hepatitis B
hsa-miR-125b-5p,Ovarian cancer
hsa-miR-125b-5p,Cerebellar disease
hsa-miR-125b-5p,Thyroid adenomas
hsa-miR-125b-5p,Glioblastoma
hsa-miR-125b-5p,Glioma
hsa-miR-125b-5p,malignant glioma
hsa-miR-125b-5p,Osteosarcoma
hsa-miR-125b-5p,Cervical cancer
hsa-miR-125b-5p,Arteriosclerosis obliterans
hsa-miR-125b-5p,Heart failure
hsa-miR-125b-5p,Aortic valve disease
hsa-miR-125b-5p,Early hepatocellular carcinoma
hsa-miR-125b-5p,Hepatocellular carcinoma
hsa-miR-125b-5p,Neuroblastoma
hsa-miR-125b-5p,Psoriasis
hsa-miR-125b-5p,Acute myeloid leukemia
hsa-miR-125b-5p,Ovarian epithelial cancer
hsa-miR-125b-5p,Serous ovarian cancer
hsa-miR-125b-5p,Cardiac hypertrophy
hsa-miR-125b-5p,Cerebellar neurodegeneration
hsa-miR-125b-5p,Neuroinflammation
hsa-miR-1271-5p,Breast cancer
hsa-miR-134-5p,Acute promyelocytic leukemia
hsa-miR-134-5p,Alzheimer disease
hsa-miR-134-5p,Fragile x syndrome
hsa-miR-134-5p,Melanoma
hsa-miR-134-5p,Multiple sclerosis relapsing-remitting
hsa-miR-134-5p,Carcinoma lung non-small-cell
hsa-miR-134-5p,Non-small cell lung cancer
hsa-miR-134-5p,Lung adenocarcinoma
hsa-miR-134-5p,Carcinoma renal cell
hsa-miR-134-5p,Kidney chromophobe cancer
hsa-miR-134-5p,Renal cell carcinoma
hsa-miR-134-5p,Nasopharyngeal carcinoma
hsa-miR-141-3p,Renal fibrosis
hsa-miR-141-3p,Oral squamous cell carcinoma
hsa-miR-141-3p,Prostate cancer
hsa-miR-141-3p,Gastric cancer
hsa-miR-141-3p,Stomach cancer
hsa-miR-141-3p,Alzheimer disease
hsa-miR-141-3p,Cancer
hsa-miR-141-3p,Melanoma
hsa-miR-141-3p,Ovarian cancer
hsa-miR-141-3p,Ovarian neoplasms
hsa-miR-141-3p,Endometrial endometrioid carcinoma
hsa-miR-141-3p,Glioblastoma
hsa-miR-141-3p,Cholangiocarcinoma
hsa-miR-141-3p,Ulcerative colitis
hsa-miR-141-3p,Crohn disease
hsa-miR-141-3p,Colorectal cancer
hsa-miR-141-3p,Nasopharyngeal carcinoma
hsa-miR-141-3p,Ovarian epithelial cancer
hsa-miR-141-3p,Prostatic neoplasms
hsa-miR-200a-3p,Oral squamous cell carcinoma
hsa-miR-200a-3p,Prostate cancer
hsa-miR-200a-3p,Gastric cancer
hsa-miR-200a-3p,Lung cancer
hsa-miR-200a-3p,Breast cancer
hsa-miR-200a-3p,Breast neoplasms
hsa-miR-200a-3p,Cancer
hsa-miR-200a-3p,Melanoma
hsa-miR-200a-3p,Colon cancer
hsa-miR-200a-3p,Ovarian cancer
hsa-miR-200a-3p,Ovarian neoplasms
hsa-miR-200a-3p,Endometrial endometrioid carcinoma
hsa-miR-200a-3p,Glioblastoma
hsa-miR-200a-3p,Meningioma
hsa-miR-200a-3p,Biliary tract cancer
hsa-miR-200a-3p,Cholangiocarcinoma
hsa-miR-200a-3p,Early hepatocellular carcinoma
hsa-miR-200a-3p,Hepatocellular carcinoma
hsa-miR-200a-3p,Nasopharyngeal carcinoma
hsa-miR-96-5p,Idiopathic pulmonary fibrosis
hsa-miR-96-5p,Tongue squamous cell carcinoma
hsa-miR-96-5p,Retinitis pigmentosa
hsa-miR-96-5p,Alzheimer disease
hsa-miR-96-5p,Breast cancer
hsa-miR-96-5p,Breast neoplasms
hsa-miR-96-5p,Pancreatic cancer
hsa-miR-96-5p,Melanoma
hsa-miR-96-5p,Hereditary spastic paraplegia
hsa-miR-96-5p,Glioma
hsa-miR-96-5p,Malignant glioma
hsa-miR-96-5p,Bladder urothelial carcinoma
hsa-miR-96-5p,Hepatocellular carcinoma
hsa-miR-96-5p,Liver hepatocellular carcinoma
hsa-miR-96-5p,Colorectal cancer
hsa-miR-128-3p,Multiple sclerosis chronic progressive
hsa-miR-128-3p,Medulloblastoma
hsa-miR-128-3p,Acute promyelocytic leukemia
hsa-miR-128-3p,Precursor cell lymphoblastic leukemia-lymphoma
hsa-miR-128-3p,Neurofibromatosis 1
hsa-miR-128-3p,Prostate cancer
hsa-miR-128-3p,Alzheimer disease
hsa-miR-128-3p,Breast cancer
hsa-miR-128-3p,Breast neoplasms
hsa-miR-128-3p,Pituitary neoplasms
hsa-miR-128-3p,Pituitary somatomammotrophic tumor
hsa-miR-128-3p,Melanoma
hsa-miR-128-3p,Atherosclerosis
hsa-miR-128-3p,Multiple sclerosis relapsing-remitting
hsa-miR-128-3p,Ovarian neoplasms
hsa-miR-128-3p,Glioblastoma
hsa-miR-128-3p,Glioma
hsa-miR-128-3p,Malignant glioma
hsa-miR-128-3p,Amyotrophic lateral sclerosis
hsa-miR-128-3p,Pituitary adenoma
hsa-miR-128-3p,Growth hormone-secreting pituitary adenoma
hsa-miR-128-3p,Neuroblastoma
hsa-miR-128-3p,Acute myelogenous leukemia
hsa-miR-128-3p,Acute myeloid leukemia
hsa-miR-128-3p,Acute lymphoblastic leukemia
hsa-miR-128-3p,Acute lymphocytic leukemia
hsa-miR-128-3p,Leukemia lymphoblastic acute
hsa-miR-128-3p,Nerve degeneration
hsa-miR-130a-3p,Multiple sclerosis chronic progressive
hsa-miR-130a-3p,Spinocerebellar ataxia type 1
hsa-miR-130a-3p,Myeloid neoplasm
hsa-miR-130a-3p,Prostate carcinoma
hsa-miR-130a-3p,Alzheimer disease
hsa-miR-130a-3p,Multiple sclerosis relapsing-remitting
hsa-miR-130a-3p,Relapsing-remitting multiple sclerosis
hsa-miR-130a-3p,Infantile hemangioma
hsa-miR-130a-3p,Glioma
hsa-miR-130a-3p,Malignant glioma
hsa-miR-130a-3p,Carcinoma lung non-small-cell
hsa-miR-130a-3p,Non-small cell lung adenocarcinoma
hsa-miR-130a-3p,Non-small cell lung cancer
hsa-miR-130a-3p,Cervical cancer
hsa-miR-130a-3p,Nasopharyngeal carcinoma
hsa-miR-130a-3p,Diabetes mellitus
hsa-miR-130a-3p,Type 2 diabetes mellitus
hsa-miR-130b-3p,Idiopathic pulmonary fibrosis
hsa-miR-130b-3p,Gastric cancer
hsa-miR-130b-3p,Alzheimer disease
hsa-miR-130b-3p,Bladder cancer
hsa-miR-130b-3p,Pituitary neoplasms
hsa-miR-130b-3p,Glioma
hsa-miR-130b-3p,Malignant glioma
hsa-miR-130b-3p,Pituitary adenoma
hsa-miR-130b-3p,Carcinoma lung non-small-cell
hsa-miR-130b-3p,Non-small cell lung adenocarcinoma
hsa-miR-130b-3p,Hepatocellular carcinoma
hsa-miR-130b-3p,T-cell leukemia
hsa-miR-130b-3p,Diabetic nephropathies
hsa-miR-148a-3p,Multiple sclerosis chronic progressive
hsa-miR-148a-3p,Medulloblastoma
hsa-miR-148a-3p,Castration-resistant prostate cancer
hsa-miR-148a-3p,Prostate cancer
hsa-miR-148a-3p,Gastric cancer
hsa-miR-148a-3p,Stomach cancer
hsa-miR-148a-3p,Alzheimer disease
hsa-miR-148a-3p,Chorea
hsa-miR-148a-3p,Breast cancer
hsa-miR-148a-3p,Breast neoplasms
hsa-miR-148a-3p,Intrahepatic cholestasis
hsa-miR-148a-3p,Melanoma
hsa-miR-148a-3p,Multiple sclerosis relapsing-remitting
hsa-miR-148a-3p,Relapsing-remitting multiple sclerosis
hsa-miR-148a-3p,Amyotrophic lateral sclerosis
hsa-miR-148a-3p,Acute myocarditis
hsa-miR-148a-3p,Bladder urothelial carcinoma
hsa-miR-148a-3p,Skin cancer
hsa-miR-148a-3p,Kidney renal clear cell carcinoma
hsa-miR-148a-3p,Renal cell carcinoma
hsa-miR-148a-3p,Cholangiocarcinoma
hsa-miR-148a-3p,Aortic valve disease
hsa-miR-148a-3p,Early hepatocellular carcinoma
hsa-miR-148a-3p,Hepatocellular carcinoma
hsa-miR-148a-3p,Laryngeal squamous cell carcinoma
hsa-miR-148b-3p,Gastric cancer
hsa-miR-148b-3p,Alzheimer disease
hsa-miR-148b-3p,Melanoma
hsa-miR-148b-3p,Glioma
hsa-miR-148b-3p,Amyotrophic lateral sclerosis
hsa-miR-148b-3p,Renal cell carcinoma
hsa-miR-148b-3p,Early hepatocellular carcinoma
hsa-miR-148b-3p,Hepatocellular carcinoma
hsa-miR-148b-3p,Gastrointestinal stromal tumor
hsa-miR-152-3p,Multiple sclerosis chronic progressive
hsa-miR-152-3p,Prostate cancer
hsa-miR-152-3p,Breast cancer
hsa-miR-152-3p,Breast neoplasms
hsa-miR-152-3p,Malignant melanoma
hsa-miR-152-3p,Multiple sclerosis relapsing-remitting
hsa-miR-152-3p,Relapsing-remitting multiple sclerosis
hsa-miR-152-3p,Glioblastoma
hsa-miR-152-3p,Liver neoplasms
hsa-miR-152-3p,Lung carcinoma
hsa-miR-152-3p,Cholangiocarcinoma
hsa-miR-152-3p,Early hepatocellular carcinoma
hsa-miR-152-3p,HBV+ hepatocellular carcinoma
hsa-miR-152-3p,Hepatocellular carcinoma
hsa-miR-152-3p,Rheumatoid arthritis
hsa-miR-152-3p,Neuroblastoma
hsa-miR-15a-5p,Polycystic liver disease
hsa-miR-15a-5p,Multiple sclerosis chronic progressive
hsa-miR-15a-5p,Estrogen-receptor positive breast cancer
hsa-miR-15a-5p,Acute promyelocytic leukemia
hsa-miR-15a-5p,B-cell chronic lymphocytic leukemia
hsa-miR-15a-5p,Chronic lymphocytic leukemia
hsa-miR-15a-5p,Endometrial cancer
hsa-miR-15a-5p,Breast cancer
hsa-miR-15a-5p,Breast neoplasms
hsa-miR-15a-5p,Pituitary neoplasms
hsa-miR-15a-5p,Pancreatic cancer
hsa-miR-15a-5p,Malignant melanoma
hsa-miR-15a-5p,Melanoma
hsa-miR-15a-5p,Multiple sclerosis relapsing-remitting
hsa-miR-15a-5p,Relapsing-remitting multiple sclerosis
hsa-miR-15a-5p,Ovarian cancer
hsa-miR-15a-5p,Glioma
hsa-miR-15a-5p,Malignant glioma
hsa-miR-15a-5p,Amyotrophic lateral sclerosis
hsa-miR-15a-5p,Carcinoma lung non-small-cell
hsa-miR-15a-5p,Non-small cell lung adenocarcinoma
hsa-miR-15a-5p,Non-small cell lung cancer
hsa-miR-15a-5p,Hepatocellular carcinoma
hsa-miR-15a-5p,Chronic myeloid leukemia
hsa-miR-15a-5p,Myeloid leukemia
hsa-miR-15a-5p,Multiple myeloma
hsa-miR-15a-5p,Myeloma
hsa-miR-15b-5p,Gastric cancer
hsa-miR-15b-5p,Alzheimer disease
hsa-miR-15b-5p,Encephalitis japanese
hsa-miR-15b-5p,Breast cancer
hsa-miR-15b-5p,Pancreatic cancer
hsa-miR-15b-5p,Malignant melanoma
hsa-miR-15b-5p,Melanoma
hsa-miR-15b-5p,Glioma
hsa-miR-15b-5p,Malignant glioma
hsa-miR-15b-5p,Amyotrophic lateral sclerosis
hsa-miR-15b-5p,Colorectal cancer
hsa-miR-15b-5p,Cardiac hypertrophy
hsa-miR-15b-5p,Cardiomegaly
hsa-miR-16-5p,Mantle cell lymphoma
hsa-miR-16-5p,Oral squamous cell carcinoma
hsa-miR-16-5p,Estrogen-receptor positive breast cancer
hsa-miR-16-5p,Prostate cancer
hsa-miR-16-5p,B-cell chronic lymphocytic leukemia
hsa-miR-16-5p,Chronic lymphocytic leukemia
hsa-miR-16-5p,Gastric cancer
hsa-miR-16-5p,Stomach cancer
hsa-miR-16-5p,Alzheimer disease
hsa-miR-16-5p,Malaria
hsa-miR-16-5p,Down syndrome
hsa-miR-16-5p,Breast cancer
hsa-miR-16-5p,Breast neoplasms
hsa-miR-16-5p,Cancer
hsa-miR-16-5p,Pituitary neoplasms
hsa-miR-16-5p,Melanoma
hsa-miR-16-5p,Multiple sclerosis relapsing-remitting
hsa-miR-16-5p,Ovarian cancer
hsa-miR-16-5p,Glioblastoma
hsa-miR-16-5p,Astrocytoma
hsa-miR-16-5p,Glioma
hsa-miR-16-5p,Malignant glioma
hsa-miR-16-5p,Amyotrophic lateral sclerosis
hsa-miR-16-5p,Carcinoma lung non small cell
hsa-miR-16-5p,Carcinoma lung non-small-cell
hsa-miR-16-5p,Non-small cell lung adenocarcinoma
hsa-miR-16-5p,Non-small cell lung cancer
hsa-miR-16-5p,Heart failure
hsa-miR-16-5p,Juvenile rheumatoid arthritis
hsa-miR-16-5p,Hepatocellular carcinoma
hsa-miR-16-5p,Osteoarthritis
hsa-miR-16-5p,Ulcerative colitis
hsa-miR-16-5p,Colorectal cancer
hsa-miR-16-5p,Multiple myeloma
hsa-miR-16-5p,Stroke lacunar
hsa-miR-195-5p,Pheochromocytoma
hsa-miR-195-5p,Paraganglioma
hsa-miR-195-5p,Multiple sclerosis chronic progressive
hsa-miR-195-5p,Hirschsprung disease
hsa-miR-195-5p,Alzheimer disease
hsa-miR-195-5p,Bladder cancer
hsa-miR-195-5p,Urinary bladder cancer
hsa-miR-195-5p,Breast cancer
hsa-miR-195-5p,Breast neoplasms
hsa-miR-195-5p,Thyroid cancer
hsa-miR-195-5p,Malignant melanoma
hsa-miR-195-5p,Multiple sclerosis relapsing-remitting
hsa-miR-195-5p,Relapsing-remitting multiple sclerosis
hsa-miR-195-5p,Glioblastoma
hsa-miR-195-5p,Osteosarcoma
hsa-miR-195-5p,Adrenocortical cancer
hsa-miR-195-5p,Adrenocortical carcinoma
hsa-miR-195-5p,Renal cell carcinoma
hsa-miR-195-5p,Schizophrenia
hsa-miR-195-5p,Colorectal cancer
hsa-miR-195-5p,Cardiomegaly
hsa-miR-214-3p,Multiple sclerosis chronic progressive
hsa-miR-214-3p,Gastric cancer
hsa-miR-214-3p,Stomach cancer
hsa-miR-214-3p,Alzheimer disease
hsa-miR-214-3p,Chorea
hsa-miR-214-3p,Parkinson disease
hsa-miR-214-3p,Breast cancer
hsa-miR-214-3p,Breast neoplasms
hsa-miR-214-3p,Squamous cell carcinoma
hsa-miR-214-3p,Vascular diseases
hsa-miR-214-3p,Pancreatic cancer
hsa-miR-214-3p,Melanoma
hsa-miR-214-3p,Multiple sclerosis relapsing-remitting
hsa-miR-214-3p,Relapsing-remitting multiple sclerosis
hsa-miR-214-3p,Ovarian cancer
hsa-miR-214-3p,Ovarian neoplasms
hsa-miR-214-3p,Amyotrophic lateral sclerosis
hsa-miR-214-3p,Osteosarcoma
hsa-miR-214-3p,Non-small cell lung cancer
hsa-miR-214-3p,Lung adenocarcinoma
hsa-miR-214-3p,Thyroid carcinoma
hsa-miR-214-3p,Cervical cancer
hsa-miR-214-3p,Intrahepatic cholangiocarcinoma
hsa-miR-214-3p,Heart failure
hsa-miR-214-3p,Pulmonary hypertension
hsa-miR-214-3p,Hepatocellular carcinoma
hsa-miR-214-3p,Multiple myeloma
hsa-miR-214-3p,Cardiomegaly
hsa-miR-218-5p,Medulloblastoma
hsa-miR-218-5p,Prostate cancer
