lncRNA,disease
HOXA-AS3,Hepatocellular Carcinoma
HOXA-AS3,Lung Adenocarcinoma
HOXA-AS3,Lung Non-Small Cell Carcinoma
HOXA-AS3,Malignant Glioma
HOXA-AS3,Osteoarthritis
HOXA-AS3,Parkinson Disease
HOXA-AS3,Pulmonary Artery Hypertension
HOXA-AS3,Thyroid Cancer
RAMP2-AS1,Astrocytoma
RAMP2-AS1,Chondrosarcoma
RAMP2-AS1,Glioblastoma
RAMP2-AS1,Lung Adenocarcinoma
RAMP2-AS1,Periodontitis
RAMP2-AS1,Thyroid Cancer
TPT1-AS1,Breast Cancer
TPT1-AS1,Cervical Cancer
TPT1-AS1,Colorectal Cancer
TPT1-AS1,COVID-19
TPT1-AS1,Cutaneous Malignant Melanoma
TPT1-AS1,Epithelial Ovarian Cancer
TPT1-AS1,Esophageal Cancer
TPT1-AS1,Gastric Cancer
TPT1-AS1,Glioma
TPT1-AS1,Liver Cancer
TPT1-AS1,Malignant Glioma
TPT1-AS1,Medulloblastoma
TPT1-AS1,Neuroblastoma
TPT1-AS1,Osteoarthritis
TPT1-AS1,Pancreatic Ductal Adenocarcinoma
TPT1-AS1,Periodontitis
TPT1-AS1,Psoriasis
LINC00899,Acute Myeloid Leukemia
LINC00899,Breast Cancer
LINC00899,Colon Adenocarcinoma
LINC00899,Esophageal Cancer
BCDIN3D-AS1,Astrocytoma
BCDIN3D-AS1,Cell Renal Cell Carcinoma
BCDIN3D-AS1,Esophageal Cancer
BCDIN3D-AS1,Glioblastoma
BCDIN3D-AS1,Glioblastoma Multiforme
BCDIN3D-AS1,Head And Neck Squamous Cell Carcinoma
BCDIN3D-AS1,Melanoma
LINC00941,Colon Cancer
LINC00941,Colorectal Cancer
LINC00941,Esophageal Adenocarcinoma
LINC00941,Esophageal Cancer
LINC00941,Esophagus Squamous Cell Carcinoma
LINC00941,Gastric Cancer
LINC00941,Head And Neck Squamous Cell Carcinoma
LINC00941,Hepatocellular Cancer
LINC00941,Hepatocellular Carcinoma
LINC00941,Lung Adenocarcinoma
LINC00941,Non-Small Cell Lung Cancer
LINC00941,Oral Squamous Cell Carcinoma
LINC00941,Pancreatic Adenocarcinoma
LINC00941,Pancreatic Cancer
LINC00941,Pancreatic Ductal Adenocarcinoma
LINC00941,Papillary Thyroid Cancer
LINC00941,Stomach Cancer
LINC00173,Acute Myeloid Leukemia
LINC00173,Astrocytoma
LINC00173,Cervical Cancer
LINC00173,Esophagus Squamous Cell Carcinoma
LINC00173,Glioblastoma
LINC00173,Glioblastoma Multiforme
LINC00173,Hepatocellular Cancer
LINC00173,Hepatocellular Carcinoma
LINC00173,Leukemia
LINC00173,Myasthenia Gravis
LINC00173,Nasopharynx Carcinoma
LINC00173,Non-Small Cell Lung Cancer
LINC00173,Pancreatic Cancer
LINC00173,Periodontitis
LINC00173,Polycystic Ovary Syndrome
LINC00173,Prostate Cancer
LINC00173,Small Cell Lung Cancer
LINC00173,Thyroid Cancer
LINC00173,Triple-Negative Breast Cancer
LOXL1-AS1,Atherosclerosis
LOXL1-AS1,Breast Cancer
LOXL1-AS1,Cholangiocarcinoma
LOXL1-AS1,Choriocarcinoma
LOXL1-AS1,Endometrial Cancer
LOXL1-AS1,Epithelial Ovarian Cancer
LOXL1-AS1,Gastric Cancer
LOXL1-AS1,Glaucoma
LOXL1-AS1,Glioblastoma
LOXL1-AS1,Glioma
LOXL1-AS1,Hepatocellular Carcinoma
LOXL1-AS1,Intrahepatic Cholangiocarcinoma
LOXL1-AS1,Liver Cancer
LOXL1-AS1,Lung Adenocarcinoma
LOXL1-AS1,Medulloblastoma
LOXL1-AS1,Non-Small Cell Lung Cancer
LOXL1-AS1,Non Small Cell Lung Cancer
LOXL1-AS1,Osteoarthritis
LOXL1-AS1,Osteoporosis
LOXL1-AS1,Osteosarcoma
LOXL1-AS1,Ovarian Cancer
LOXL1-AS1,Pancreatic Cancer
LOXL1-AS1,Periodontitis
LOXL1-AS1,Prostate Cancer
LOXL1-AS1,Renal Cell Carcinoma
LOXL1-AS1,Thoracic Aortic Aneurysm
LOXL1-AS1,Thyroid Cancer
LINC00630,Childhood Acute Lymphoblastic Leukemia
LINC00630,Colorectal Cancer
LINC00630,Esophageal Cancer
LINC00630,Glioma
LINC00630,Hepatocellular Carcinoma
LINC00630,Non-Small Cell Lung Cancer
LINC00630,Periodontitis
LINC00630,Pulmonary Artery Hypertension
LINC00630,Pulpitis
MCF2L-AS1,Clear Cell Renal Cell Carcinoma
MCF2L-AS1,Colon Adenocarcinoma
MCF2L-AS1,Colorectal Cancer
MCF2L-AS1,Esophageal Cancer
MCF2L-AS1,Non-Small Cell Lung Cancer
MCF2L-AS1,Osteoporosis
MCF2L-AS1,Thyroid Cancer
RASAL2-AS1,Esophageal Cancer
RASAL2-AS1,Gastric Cancer
LINC00882,Cancer
LINC00882,Chromophobe Renal Cell Carcinoma
LINC00882,COVID-19
LINC00882,Gastric Cancer
LINC00882,Hepatocellular Carcinoma
FTX,Acute Myeloid Leukemia
FTX,Asthma
FTX,Breast Cancer
FTX,Colorectal Cancer
FTX,COVID-19
FTX,Esophageal Cancer
FTX,Gastric Cancer
FTX,Glioblastoma Multiforme
FTX,Glioma
FTX,Hepatocellular Cancer
FTX,Hepatocellular Carcinoma
FTX,High-Grade Serous Ovarian Cancer
FTX,Lung Adenocarcinoma
FTX,Lung Cancer
FTX,Medullary Thyroid Cancer
FTX,Non-Alcoholic Fatty Liver Disease
FTX,Non-Small Cell Lung Cancer
FTX,Non Small Cell Lung Cancer
FTX,Osteoporosis
FTX,Osteosarcoma
FTX,Pancreatic Cancer
FTX,Pulmonary Artery Hypertension
FTX,Renal Cell Carcinoma
FTX,Systemic Lupus Erythematosus
FTX,Uveal Melanoma
PITPNA-AS1,Astrocytoma
PITPNA-AS1,Bladder Cancer
PITPNA-AS1,Cervical Cancer
PITPNA-AS1,Glioblastoma
PITPNA-AS1,Hepatocellular Carcinoma
PITPNA-AS1,Low-Grade Glioma
PITPNA-AS1,Lung Squamous Cell Carcinoma
PITPNA-AS1,Non-Small Cell Lung Cancer
PITPNA-AS1,Papillary Thyroid Cancer
PITPNA-AS1,Triple-Negative Breast Cancer
HOTTIP,Acute Myeloid Leukemia
HOTTIP,Adrenocortical Carcinoma
HOTTIP,Atherosclerosis
HOTTIP,Breast Cancer
HOTTIP,Cancer
HOTTIP,Cell Renal Cell Carcinoma
HOTTIP,Colorectal Cancer
HOTTIP,Colorectal Carcinoma
HOTTIP,Coronary Artery Disease
HOTTIP,Esophageal Cancer
HOTTIP,Esophageal Squamous Cell Cancer
HOTTIP,Esophagus Squamous Cell Carcinoma
HOTTIP,Fibroadenoma
HOTTIP,Gastric Cancer
HOTTIP,Gastric Carcinoma
HOTTIP,Glioma
HOTTIP,Head And Neck Squamous Cell Carcinoma
HOTTIP,Hepatitis B
HOTTIP,Hepatocellular Cancer
HOTTIP,Hepatocellular Carcinoma
HOTTIP,Hirschsprung's Disease
HOTTIP,Laryngeal Cancer
HOTTIP,Leukemia
HOTTIP,Liver Fibrosis
HOTTIP,Lung Adenocarcinoma
HOTTIP,Lung Cancer
HOTTIP,Lung Fibrosis
HOTTIP,Lung Non-Small Cell Carcinoma
HOTTIP,Lung Small Cell Carcinoma
HOTTIP,Malignant Glioma
HOTTIP,Nasopharynx Cancer
HOTTIP,Nasopharynx Carcinoma
HOTTIP,Non-Small Cell Lung Cancer
HOTTIP,Non Small Cell Lung Cancer
HOTTIP,Oral Cancer
HOTTIP,Oral Submucous Fibrosis
HOTTIP,Oral Tongue Squamous Cell Carcinoma
HOTTIP,Osteosarcoma
HOTTIP,Ovarian Cancer
HOTTIP,Ovarian Carcinoma
HOTTIP,Pancreatic Cancer
HOTTIP,Pancreatic Carcinoma
HOTTIP,Pancreatic Ductal Adenocarcinoma
HOTTIP,Papillary Thyroid Cancer
HOTTIP,Papillary Thyroid Carcinoma
HOTTIP,Parkinson Disease
HOTTIP,Pre-Eclampsia
HOTTIP,Prostate Cancer
HOTTIP,Renal Cell Carcinoma
HOTTIP,Rheumatoid Arthritis
HOTTIP,Small Cell Lung Cancer
HOTTIP,Stomach Cancer
HOTTIP,Systemic Scleroderma
HOTTIP,Thyroid Cancer
HOTTIP,Tongue Squamous Cell Carcinoma
NPPA-AS1,Cardiovascular Disease
NPPA-AS1,Cervical Cancer
NPPA-AS1,Esophageal Cancer
THAP9-AS1,Breast Cancer
THAP9-AS1,Esophageal Cancer
THAP9-AS1,Esophagus Squamous Cell Carcinoma
THAP9-AS1,Gastric Cancer
THAP9-AS1,Glioblastoma
THAP9-AS1,Nasopharynx Carcinoma
THAP9-AS1,Pancreatic Ductal Adenocarcinoma
USP2-AS1,Colon Adenocarcinoma
USP2-AS1,Esophageal Cancer
USP2-AS1,Medulloblastoma
USP2-AS1,Ovarian Cancer
USP2-AS1,Thyroid Cancer
PRKAG2-AS1,Castration Resistant Prostate Cancer
PRKAG2-AS1,Colon Adenocarcinoma
PRKAG2-AS1,Esophageal Cancer
PRKAG2-AS1,Esophagus Squamous Cell Carcinoma
PRKAG2-AS1,Glaucoma
PRKAG2-AS1,Glioma
PRKAG2-AS1,Hepatocellular Carcinoma
PRKAG2-AS1,Low-Grade Glioma
PRKAG2-AS1,Medulloblastoma
PRKAG2-AS1,Thyroid Cancer
SNHG21,Osteoarthritis
FGD5-AS1,Acute Myeloid Leukemia
FGD5-AS1,Acute Myocardial Infarction
FGD5-AS1,Bladder Cancer
FGD5-AS1,Colorectal Cancer
FGD5-AS1,Cutaneous Melanoma
FGD5-AS1,Esophageal Cancer
FGD5-AS1,Esophagus Squamous Cell Carcinoma
FGD5-AS1,Gastric Cancer
FGD5-AS1,Glioblastoma
FGD5-AS1,Glioma
FGD5-AS1,Hepatocellular Carcinoma
FGD5-AS1,Laryngeal Squamous Cell Carcinoma
FGD5-AS1,Lung Adenocarcinoma
FGD5-AS1,Lung Non-Small Cell Carcinoma
FGD5-AS1,Melanoma
FGD5-AS1,Neuroblastoma
FGD5-AS1,Non-Small Cell Lung Cancer
FGD5-AS1,Non Small Cell Lung Cancer
FGD5-AS1,Oral Cancer
FGD5-AS1,Oral Squamous Cell Carcinoma
FGD5-AS1,Osteoarthritis
FGD5-AS1,Osteonecrosis
FGD5-AS1,Osteosarcoma
FGD5-AS1,Ovarian Cancer
FGD5-AS1,Pancreatic Cancer
FGD5-AS1,Periodontitis
FGD5-AS1,Pulmonary Artery Hypertension
FGD5-AS1,Renal Cell Carcinoma
FGD5-AS1,Systemic Lupus Erythematosus
FGD5-AS1,Tetralogy Of Fallot
RAD51-AS1,Breast Cancer
RAD51-AS1,Cancer
RAD51-AS1,Colorectal Cancer
RAD51-AS1,Epithelial Ovarian Cancer
