miRNA,disease
hsa-miR-4262,abdominal aortic aneurysm
hsa-miR-4458,abdominal aortic aneurysm
hsa-miR-4500,abdominal aortic aneurysm
hsa-miR-98-5p,abdominal aortic aneurysm
hsa-let-7a-5p,acute myeloid leukemia
hsa-let-7b-5p,acute myeloid leukemia
hsa-let-7c-5p,acute myeloid leukemia
hsa-let-7d-5p,acute myeloid leukemia
hsa-let-7e-5p,acute myeloid leukemia
hsa-let-7f-5p,acute myeloid leukemia
hsa-let-7g-5p,acute myeloid leukemia
hsa-let-7i-5p,acute myeloid leukemia
hsa-miR-10a-5p,acute myeloid leukemia
hsa-miR-10b-5p,acute myeloid leukemia
hsa-miR-122-5p,acute myeloid leukemia
hsa-miR-125a-3p,acute myeloid leukemia
hsa-miR-181a-5p,acute myeloid leukemia
hsa-miR-181b-5p,acute myeloid leukemia
hsa-miR-181c-5p,acute myeloid leukemia
hsa-miR-181d-5p,acute myeloid leukemia
hsa-miR-339-5p,acute myeloid leukemia
hsa-miR-4262,acute myeloid leukemia
hsa-miR-4458,acute myeloid leukemia
hsa-miR-4500,acute myeloid leukemia
hsa-miR-98-5p,acute myeloid leukemia
hsa-let-7a-5p,acute myocardial infarction
hsa-let-7b-5p,acute myocardial infarction
hsa-let-7c-5p,acute myocardial infarction
hsa-let-7d-5p,acute myocardial infarction
hsa-let-7e-5p,acute myocardial infarction
hsa-let-7f-5p,acute myocardial infarction
hsa-let-7g-5p,acute myocardial infarction
hsa-let-7i-5p,acute myocardial infarction
hsa-miR-10a-5p,acute myocardial infarction
hsa-miR-10b-5p,acute myocardial infarction
hsa-miR-122-5p,acute myocardial infarction
hsa-miR-125a-3p,acute myocardial infarction
hsa-miR-181a-5p,acute myocardial infarction
hsa-miR-181b-5p,acute myocardial infarction
hsa-miR-181c-5p,acute myocardial infarction
hsa-miR-181d-5p,acute myocardial infarction
hsa-miR-339-5p,acute myocardial infarction
hsa-miR-4262,acute myocardial infarction
hsa-miR-4458,acute myocardial infarction
hsa-miR-4500,acute myocardial infarction
hsa-miR-98-5p,acute myocardial infarction
hsa-let-7a-5p,aortic aneurysm
hsa-let-7b-5p,aortic aneurysm
hsa-let-7c-5p,aortic aneurysm
hsa-let-7d-5p,aortic aneurysm
hsa-let-7e-5p,aortic aneurysm
hsa-let-7f-5p,aortic aneurysm
hsa-let-7g-5p,aortic aneurysm
hsa-let-7i-5p,aortic aneurysm
hsa-miR-10a-5p,aortic aneurysm
hsa-miR-10b-5p,aortic aneurysm
hsa-miR-122-5p,aortic aneurysm
hsa-miR-125a-3p,aortic aneurysm
hsa-miR-181a-5p,aortic aneurysm
hsa-miR-181b-5p,aortic aneurysm
hsa-miR-181c-5p,aortic aneurysm
hsa-miR-181d-5p,aortic aneurysm
hsa-miR-339-5p,aortic aneurysm
hsa-miR-4262,aortic aneurysm
hsa-miR-4458,aortic aneurysm
hsa-miR-4500,aortic aneurysm
hsa-miR-98-5p,aortic aneurysm
hsa-let-7a-5p,arteriosclerotic cardiovascular disease
hsa-let-7b-5p,arteriosclerotic cardiovascular disease
hsa-let-7c-5p,arteriosclerotic cardiovascular disease
hsa-let-7d-5p,arteriosclerotic cardiovascular disease
hsa-let-7e-5p,arteriosclerotic cardiovascular disease
hsa-let-7f-5p,arteriosclerotic cardiovascular disease
hsa-let-7g-5p,arteriosclerotic cardiovascular disease
hsa-let-7i-5p,arteriosclerotic cardiovascular disease
hsa-miR-10a-5p,arteriosclerotic cardiovascular disease
hsa-miR-10b-5p,arteriosclerotic cardiovascular disease
hsa-miR-122-5p,arteriosclerotic cardiovascular disease
hsa-miR-125a-3p,arteriosclerotic cardiovascular disease
hsa-miR-181a-5p,arteriosclerotic cardiovascular disease
hsa-miR-181b-5p,arteriosclerotic cardiovascular disease
hsa-miR-181c-5p,arteriosclerotic cardiovascular disease
hsa-miR-181d-5p,arteriosclerotic cardiovascular disease
hsa-miR-339-5p,arteriosclerotic cardiovascular disease
hsa-miR-4262,arteriosclerotic cardiovascular disease
hsa-miR-4458,arteriosclerotic cardiovascular disease
hsa-miR-4500,arteriosclerotic cardiovascular disease
hsa-miR-98-5p,arteriosclerotic cardiovascular disease
hsa-let-7a-5p,atherosclerosis
hsa-let-7b-5p,atherosclerosis
hsa-let-7c-5p,atherosclerosis
hsa-let-7d-5p,atherosclerosis
hsa-let-7e-5p,atherosclerosis
hsa-let-7f-5p,atherosclerosis
hsa-let-7g-5p,atherosclerosis
hsa-let-7i-5p,atherosclerosis
hsa-miR-10a-5p,atherosclerosis
hsa-miR-10b-5p,atherosclerosis
hsa-miR-122-5p,atherosclerosis
hsa-miR-125a-3p,atherosclerosis
hsa-miR-181a-5p,atherosclerosis
hsa-miR-181b-5p,atherosclerosis
hsa-miR-181c-5p,atherosclerosis
hsa-miR-181d-5p,atherosclerosis
hsa-miR-339-5p,atherosclerosis
hsa-miR-4262,atherosclerosis
hsa-miR-4458,atherosclerosis
hsa-miR-4500,atherosclerosis
hsa-miR-98-5p,atherosclerosis
hsa-let-7a-5p,basal cell carcinoma
hsa-let-7b-5p,basal cell carcinoma
hsa-let-7c-5p,basal cell carcinoma
hsa-let-7d-5p,basal cell carcinoma
hsa-let-7e-5p,basal cell carcinoma
hsa-let-7f-5p,basal cell carcinoma
hsa-let-7g-5p,basal cell carcinoma
hsa-let-7i-5p,basal cell carcinoma
hsa-miR-10a-5p,basal cell carcinoma
hsa-miR-10b-5p,basal cell carcinoma
hsa-miR-122-5p,basal cell carcinoma
hsa-miR-125a-3p,basal cell carcinoma
hsa-miR-181a-5p,basal cell carcinoma
hsa-miR-181b-5p,basal cell carcinoma
hsa-miR-181c-5p,basal cell carcinoma
hsa-miR-181d-5p,basal cell carcinoma
hsa-miR-339-5p,basal cell carcinoma
hsa-miR-4262,basal cell carcinoma
hsa-miR-4458,basal cell carcinoma
hsa-miR-4500,basal cell carcinoma
hsa-miR-98-5p,basal cell carcinoma
hsa-let-7a-5p,breast cancer
hsa-let-7b-5p,breast cancer
hsa-let-7c-5p,breast cancer
hsa-let-7d-5p,breast cancer
hsa-let-7e-5p,breast cancer
hsa-let-7f-5p,breast cancer
hsa-let-7g-5p,breast cancer
hsa-let-7i-5p,breast cancer
hsa-miR-10a-5p,breast cancer
hsa-miR-10b-5p,breast cancer
hsa-miR-122-5p,breast cancer
hsa-miR-125a-3p,breast cancer
hsa-miR-181a-5p,breast cancer
hsa-miR-181b-5p,breast cancer
hsa-miR-181c-5p,breast cancer
hsa-miR-181d-5p,breast cancer
hsa-miR-339-5p,breast cancer
hsa-miR-4262,breast cancer
hsa-miR-4458,breast cancer
hsa-miR-4500,breast cancer
hsa-miR-98-5p,breast cancer
hsa-let-7a-5p,cancer
hsa-let-7b-5p,cancer
hsa-let-7c-5p,cancer
hsa-let-7d-5p,cancer
hsa-let-7e-5p,cancer
hsa-let-7f-5p,cancer
hsa-let-7g-5p,cancer
hsa-let-7i-5p,cancer
hsa-miR-10a-5p,cancer
hsa-miR-10b-5p,cancer
hsa-miR-122-5p,cancer
hsa-miR-125a-3p,cancer
hsa-miR-181a-5p,cancer
hsa-miR-181b-5p,cancer
hsa-miR-181c-5p,cancer
hsa-miR-181d-5p,cancer
hsa-miR-339-5p,cancer
hsa-miR-4262,cancer
hsa-miR-4458,cancer
hsa-miR-4500,cancer
hsa-miR-98-5p,cancer
hsa-let-7a-5p,cardiovascular system disease
hsa-let-7b-5p,cardiovascular system disease
hsa-let-7c-5p,cardiovascular system disease
hsa-let-7d-5p,cardiovascular system disease
hsa-let-7e-5p,cardiovascular system disease
hsa-let-7f-5p,cardiovascular system disease
hsa-let-7g-5p,cardiovascular system disease
hsa-let-7i-5p,cardiovascular system disease
hsa-miR-10a-5p,cardiovascular system disease
hsa-miR-10b-5p,cardiovascular system disease
hsa-miR-122-5p,cardiovascular system disease
hsa-miR-125a-3p,cardiovascular system disease
hsa-miR-181a-5p,cardiovascular system disease
hsa-miR-181b-5p,cardiovascular system disease
hsa-miR-181c-5p,cardiovascular system disease
hsa-miR-181d-5p,cardiovascular system disease
hsa-miR-339-5p,cardiovascular system disease
hsa-miR-4262,cardiovascular system disease
hsa-miR-4458,cardiovascular system disease
hsa-miR-4500,cardiovascular system disease
hsa-miR-98-5p,cardiovascular system disease
hsa-let-7a-5p,carotid stenosis
hsa-let-7b-5p,carotid stenosis
hsa-let-7c-5p,carotid stenosis
hsa-let-7d-5p,carotid stenosis
hsa-let-7e-5p,carotid stenosis
hsa-let-7f-5p,carotid stenosis
hsa-let-7g-5p,carotid stenosis
hsa-let-7i-5p,carotid stenosis
hsa-miR-10a-5p,carotid stenosis
hsa-miR-10b-5p,carotid stenosis
hsa-miR-122-5p,carotid stenosis
hsa-miR-125a-3p,carotid stenosis
hsa-miR-181a-5p,carotid stenosis
hsa-miR-181b-5p,carotid stenosis
hsa-miR-181c-5p,carotid stenosis
hsa-miR-181d-5p,carotid stenosis
hsa-miR-339-5p,carotid stenosis
hsa-miR-4262,carotid stenosis
hsa-miR-4458,carotid stenosis
hsa-miR-4500,carotid stenosis
hsa-miR-98-5p,carotid stenosis
hsa-let-7a-5p,cervical cancer
hsa-let-7b-5p,cervical cancer
hsa-let-7c-5p,cervical cancer
hsa-let-7d-5p,cervical cancer
hsa-let-7e-5p,cervical cancer
hsa-let-7f-5p,cervical cancer
hsa-let-7g-5p,cervical cancer
hsa-let-7i-5p,cervical cancer
hsa-miR-10a-5p,cervical cancer
hsa-miR-10b-5p,cervical cancer
hsa-miR-122-5p,cervical cancer
hsa-miR-125a-3p,cervical cancer
hsa-miR-181a-5p,cervical cancer
hsa-miR-181b-5p,cervical cancer
hsa-miR-181c-5p,cervical cancer
hsa-miR-181d-5p,cervical cancer
hsa-miR-339-5p,cervical cancer
hsa-miR-4262,cervical cancer
hsa-miR-4458,cervical cancer
hsa-miR-4500,cervical cancer
hsa-miR-98-5p,cervical cancer
hsa-let-7a-5p,colorectal cancer
hsa-let-7b-5p,colorectal cancer
hsa-let-7c-5p,colorectal cancer
hsa-let-7d-5p,colorectal cancer
hsa-let-7e-5p,colorectal cancer
hsa-let-7f-5p,colorectal cancer
hsa-let-7g-5p,colorectal cancer
hsa-let-7i-5p,colorectal cancer
hsa-miR-10a-5p,colorectal cancer
hsa-miR-10b-5p,colorectal cancer
hsa-miR-122-5p,colorectal cancer
hsa-miR-125a-3p,colorectal cancer
hsa-miR-181a-5p,colorectal cancer
hsa-miR-181b-5p,colorectal cancer
hsa-miR-181c-5p,colorectal cancer
hsa-miR-181d-5p,colorectal cancer
hsa-miR-339-5p,colorectal cancer
hsa-miR-4262,colorectal cancer
hsa-miR-4458,colorectal cancer
hsa-miR-4500,colorectal cancer
hsa-miR-98-5p,colorectal cancer
hsa-let-7a-5p,congestive heart failure
hsa-let-7b-5p,congestive heart failure
hsa-let-7c-5p,congestive heart failure
hsa-let-7d-5p,congestive heart failure
hsa-let-7e-5p,congestive heart failure
hsa-let-7f-5p,congestive heart failure
hsa-let-7g-5p,congestive heart failure
hsa-let-7i-5p,congestive heart failure
hsa-miR-10a-5p,congestive heart failure
hsa-miR-10b-5p,congestive heart failure
hsa-miR-122-5p,congestive heart failure
hsa-miR-125a-3p,congestive heart failure
hsa-miR-181a-5p,congestive heart failure
hsa-miR-181b-5p,congestive heart failure
hsa-miR-181c-5p,congestive heart failure
hsa-miR-181d-5p,congestive heart failure
hsa-miR-339-5p,congestive heart failure
hsa-miR-4262,congestive heart failure
hsa-miR-4458,congestive heart failure
hsa-miR-4500,congestive heart failure
hsa-miR-98-5p,congestive heart failure
hsa-let-7a-5p,coronary artery disease
hsa-let-7b-5p,coronary artery disease
hsa-let-7c-5p,coronary artery disease
hsa-let-7d-5p,coronary artery disease
hsa-let-7e-5p,coronary artery disease
hsa-let-7f-5p,coronary artery disease
hsa-let-7g-5p,coronary artery disease
hsa-let-7i-5p,coronary artery disease
hsa-miR-10a-5p,coronary artery disease
hsa-miR-10b-5p,coronary artery disease
hsa-miR-122-5p,coronary artery disease
hsa-miR-125a-3p,coronary artery disease
hsa-miR-181a-5p,coronary artery disease
hsa-miR-181b-5p,coronary artery disease
hsa-miR-181c-5p,coronary artery disease
hsa-miR-181d-5p,coronary artery disease
hsa-miR-339-5p,coronary artery disease
hsa-miR-4262,coronary artery disease
hsa-miR-4458,coronary artery disease
hsa-miR-4500,coronary artery disease
hsa-miR-98-5p,coronary artery disease
hsa-let-7a-5p,diabetes mellitus
hsa-let-7b-5p,diabetes mellitus
hsa-let-7c-5p,diabetes mellitus
hsa-let-7d-5p,diabetes mellitus
hsa-let-7e-5p,diabetes mellitus
hsa-let-7f-5p,diabetes mellitus
hsa-let-7g-5p,diabetes mellitus
hsa-let-7i-5p,diabetes mellitus
hsa-miR-10a-5p,diabetes mellitus
hsa-miR-10b-5p,diabetes mellitus
hsa-miR-122-5p,diabetes mellitus
hsa-miR-125a-3p,diabetes mellitus
hsa-miR-181a-5p,diabetes mellitus
hsa-miR-181b-5p,diabetes mellitus
hsa-miR-181c-5p,diabetes mellitus
hsa-miR-181d-5p,diabetes mellitus
hsa-miR-339-5p,diabetes mellitus
hsa-miR-4262,diabetes mellitus
hsa-miR-4458,diabetes mellitus
hsa-miR-4500,diabetes mellitus
hsa-miR-98-5p,diabetes mellitus
hsa-let-7a-5p,endometriosis
hsa-let-7b-5p,endometriosis
hsa-let-7c-5p,endometriosis
hsa-let-7d-5p,endometriosis
hsa-let-7e-5p,endometriosis
hsa-let-7f-5p,endometriosis
hsa-let-7g-5p,endometriosis
hsa-let-7i-5p,endometriosis
hsa-miR-10a-5p,endometriosis
hsa-miR-10b-5p,endometriosis
hsa-miR-122-5p,endometriosis
hsa-miR-125a-3p,endometriosis
hsa-miR-181a-5p,endometriosis
hsa-miR-181b-5p,endometriosis
hsa-miR-181c-5p,endometriosis
hsa-miR-181d-5p,endometriosis
hsa-miR-339-5p,endometriosis
hsa-miR-4262,endometriosis
hsa-miR-4458,endometriosis
hsa-miR-4500,endometriosis
hsa-miR-98-5p,endometriosis
hsa-let-7a-5p,esophageal cancer
hsa-let-7b-5p,esophageal cancer
hsa-let-7c-5p,esophageal cancer
hsa-let-7d-5p,esophageal cancer
hsa-let-7e-5p,esophageal cancer
hsa-let-7f-5p,esophageal cancer
hsa-let-7g-5p,esophageal cancer
hsa-let-7i-5p,esophageal cancer
hsa-miR-10a-5p,esophageal cancer
hsa-miR-10b-5p,esophageal cancer
hsa-miR-122-5p,esophageal cancer
hsa-miR-125a-3p,esophageal cancer
hsa-miR-181a-5p,esophageal cancer
hsa-miR-181b-5p,esophageal cancer
hsa-miR-181c-5p,esophageal cancer
hsa-miR-181d-5p,esophageal cancer
hsa-miR-339-5p,esophageal cancer
hsa-miR-4262,esophageal cancer
hsa-miR-4458,esophageal cancer
hsa-miR-4500,esophageal cancer
hsa-miR-98-5p,esophageal cancer
hsa-let-7a-5p,gallbladder cancer
hsa-let-7b-5p,gallbladder cancer
hsa-let-7c-5p,gallbladder cancer
hsa-let-7d-5p,gallbladder cancer
hsa-let-7e-5p,gallbladder cancer
hsa-let-7f-5p,gallbladder cancer
hsa-let-7g-5p,gallbladder cancer
hsa-let-7i-5p,gallbladder cancer
hsa-miR-10a-5p,gallbladder cancer
hsa-miR-10b-5p,gallbladder cancer
hsa-miR-122-5p,gallbladder cancer
hsa-miR-125a-3p,gallbladder cancer
hsa-miR-181a-5p,gallbladder cancer
hsa-miR-181b-5p,gallbladder cancer
hsa-miR-181c-5p,gallbladder cancer
hsa-miR-181d-5p,gallbladder cancer
hsa-miR-339-5p,gallbladder cancer
hsa-miR-4262,gallbladder cancer
hsa-miR-4458,gallbladder cancer
hsa-miR-4500,gallbladder cancer
hsa-miR-98-5p,gallbladder cancer
hsa-let-7a-5p,glaucoma
hsa-let-7b-5p,glaucoma
hsa-let-7c-5p,glaucoma
hsa-let-7d-5p,glaucoma
hsa-let-7e-5p,glaucoma
hsa-let-7f-5p,glaucoma
hsa-let-7g-5p,glaucoma
hsa-let-7i-5p,glaucoma
hsa-miR-10a-5p,glaucoma
hsa-miR-10b-5p,glaucoma
hsa-miR-122-5p,glaucoma
hsa-miR-125a-3p,glaucoma
hsa-miR-181a-5p,glaucoma
hsa-miR-181b-5p,glaucoma
hsa-miR-181c-5p,glaucoma
hsa-miR-181d-5p,glaucoma
hsa-miR-339-5p,glaucoma
hsa-miR-4262,glaucoma
hsa-miR-4458,glaucoma
hsa-miR-4500,glaucoma
hsa-miR-98-5p,glaucoma
hsa-let-7a-5p,hepatocellular carcinoma
hsa-let-7b-5p,hepatocellular carcinoma
hsa-let-7c-5p,hepatocellular carcinoma
hsa-let-7d-5p,hepatocellular carcinoma
hsa-let-7e-5p,hepatocellular carcinoma
hsa-let-7f-5p,hepatocellular carcinoma
hsa-let-7g-5p,hepatocellular carcinoma
hsa-let-7i-5p,hepatocellular carcinoma
hsa-miR-10a-5p,hepatocellular carcinoma
hsa-miR-10b-5p,hepatocellular carcinoma
hsa-miR-122-5p,hepatocellular carcinoma
hsa-miR-125a-3p,hepatocellular carcinoma
hsa-miR-181a-5p,hepatocellular carcinoma
hsa-miR-181b-5p,hepatocellular carcinoma
hsa-miR-181c-5p,hepatocellular carcinoma
hsa-miR-181d-5p,hepatocellular carcinoma
hsa-miR-339-5p,hepatocellular carcinoma
hsa-miR-4262,hepatocellular carcinoma
hsa-miR-4458,hepatocellular carcinoma
hsa-miR-4500,hepatocellular carcinoma
hsa-miR-98-5p,hepatocellular carcinoma
hsa-let-7a-5p,hypertension
hsa-let-7b-5p,hypertension
hsa-let-7c-5p,hypertension
hsa-let-7d-5p,hypertension
hsa-let-7e-5p,hypertension
hsa-let-7f-5p,hypertension
hsa-let-7g-5p,hypertension
hsa-let-7i-5p,hypertension
hsa-miR-10a-5p,hypertension
hsa-miR-10b-5p,hypertension
hsa-miR-122-5p,hypertension
hsa-miR-125a-3p,hypertension
hsa-miR-181a-5p,hypertension
hsa-miR-181b-5p,hypertension
hsa-miR-181c-5p,hypertension
hsa-miR-181d-5p,hypertension
hsa-miR-339-5p,hypertension
hsa-miR-4262,hypertension
hsa-miR-4458,hypertension
hsa-miR-4500,hypertension
hsa-miR-98-5p,hypertension
hsa-let-7a-5p,intracranial aneurysm
hsa-let-7b-5p,intracranial aneurysm
hsa-let-7c-5p,intracranial aneurysm
hsa-let-7d-5p,intracranial aneurysm
hsa-let-7e-5p,intracranial aneurysm
hsa-let-7f-5p,intracranial aneurysm
hsa-let-7g-5p,intracranial aneurysm
hsa-let-7i-5p,intracranial aneurysm
hsa-miR-10a-5p,intracranial aneurysm
hsa-miR-10b-5p,intracranial aneurysm
hsa-miR-122-5p,intracranial aneurysm
hsa-miR-125a-3p,intracranial aneurysm
hsa-miR-181a-5p,intracranial aneurysm
hsa-miR-181b-5p,intracranial aneurysm
hsa-miR-181c-5p,intracranial aneurysm
hsa-miR-181d-5p,intracranial aneurysm
hsa-miR-339-5p,intracranial aneurysm
hsa-miR-4262,intracranial aneurysm
hsa-miR-4458,intracranial aneurysm
hsa-miR-4500,intracranial aneurysm
hsa-miR-98-5p,intracranial aneurysm
hsa-let-7a-5p,laryngeal squamous cell carcinoma
hsa-let-7b-5p,laryngeal squamous cell carcinoma
hsa-let-7c-5p,laryngeal squamous cell carcinoma
hsa-let-7d-5p,laryngeal squamous cell carcinoma
hsa-let-7e-5p,laryngeal squamous cell carcinoma
hsa-let-7f-5p,laryngeal squamous cell carcinoma
hsa-let-7g-5p,laryngeal squamous cell carcinoma
hsa-let-7i-5p,laryngeal squamous cell carcinoma
hsa-miR-10a-5p,laryngeal squamous cell carcinoma
hsa-miR-10b-5p,laryngeal squamous cell carcinoma
hsa-miR-122-5p,laryngeal squamous cell carcinoma
hsa-miR-125a-3p,laryngeal squamous cell carcinoma
hsa-miR-181a-5p,laryngeal squamous cell carcinoma
hsa-miR-181b-5p,laryngeal squamous cell carcinoma
hsa-miR-181c-5p,laryngeal squamous cell carcinoma
hsa-miR-181d-5p,laryngeal squamous cell carcinoma
hsa-miR-339-5p,laryngeal squamous cell carcinoma
hsa-miR-4262,laryngeal squamous cell carcinoma
hsa-miR-4458,laryngeal squamous cell carcinoma
hsa-miR-4500,laryngeal squamous cell carcinoma
hsa-miR-98-5p,laryngeal squamous cell carcinoma
hsa-let-7a-5p,leukemia
hsa-let-7b-5p,leukemia
hsa-let-7c-5p,leukemia
hsa-let-7d-5p,leukemia
hsa-let-7e-5p,leukemia
hsa-let-7f-5p,leukemia
hsa-let-7g-5p,leukemia
hsa-let-7i-5p,leukemia
hsa-miR-10a-5p,leukemia
hsa-miR-10b-5p,leukemia
hsa-miR-122-5p,leukemia
hsa-miR-125a-3p,leukemia
hsa-miR-181a-5p,leukemia
hsa-miR-181b-5p,leukemia
hsa-miR-181c-5p,leukemia
hsa-miR-181d-5p,leukemia
hsa-miR-339-5p,leukemia
hsa-miR-4262,leukemia
hsa-miR-4458,leukemia
hsa-miR-4500,leukemia
hsa-miR-98-5p,leukemia
hsa-let-7a-5p,lung cancer
hsa-let-7b-5p,lung cancer
hsa-let-7c-5p,lung cancer
hsa-let-7d-5p,lung cancer
hsa-let-7e-5p,lung cancer
hsa-let-7f-5p,lung cancer
hsa-let-7g-5p,lung cancer
hsa-let-7i-5p,lung cancer
hsa-miR-10a-5p,lung cancer
hsa-miR-10b-5p,lung cancer
hsa-miR-122-5p,lung cancer
hsa-miR-125a-3p,lung cancer
hsa-miR-181a-5p,lung cancer
hsa-miR-181b-5p,lung cancer
hsa-miR-181c-5p,lung cancer
hsa-miR-181d-5p,lung cancer
hsa-miR-339-5p,lung cancer
hsa-miR-4262,lung cancer
hsa-miR-4458,lung cancer
hsa-miR-4500,lung cancer
hsa-miR-98-5p,lung cancer
hsa-let-7a-5p,medulloblastoma
hsa-let-7b-5p,medulloblastoma
hsa-let-7c-5p,medulloblastoma
hsa-let-7d-5p,medulloblastoma
hsa-let-7e-5p,medulloblastoma
hsa-let-7f-5p,medulloblastoma
hsa-let-7g-5p,medulloblastoma
hsa-let-7i-5p,medulloblastoma
hsa-miR-10a-5p,medulloblastoma
hsa-miR-10b-5p,medulloblastoma
hsa-miR-122-5p,medulloblastoma
hsa-miR-125a-3p,medulloblastoma
hsa-miR-181a-5p,medulloblastoma
hsa-miR-181b-5p,medulloblastoma
hsa-miR-181c-5p,medulloblastoma
hsa-miR-181d-5p,medulloblastoma
hsa-miR-339-5p,medulloblastoma
hsa-miR-4262,medulloblastoma
hsa-miR-4458,medulloblastoma
hsa-miR-4500,medulloblastoma
hsa-miR-98-5p,medulloblastoma
hsa-let-7a-5p,melanoma
hsa-let-7b-5p,melanoma
hsa-let-7c-5p,melanoma
hsa-let-7d-5p,melanoma
hsa-let-7e-5p,melanoma
hsa-let-7f-5p,melanoma
hsa-let-7g-5p,melanoma
hsa-let-7i-5p,melanoma
hsa-miR-10a-5p,melanoma
hsa-miR-10b-5p,melanoma
hsa-miR-122-5p,melanoma
hsa-miR-125a-3p,melanoma
hsa-miR-181a-5p,melanoma
hsa-miR-181b-5p,melanoma
hsa-miR-181c-5p,melanoma
hsa-miR-181d-5p,melanoma
hsa-miR-339-5p,melanoma
hsa-miR-4262,melanoma
